month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2026/04/01 04:00:00+00,Total,30,The RIDE,107027,3568,142
2026/03/01 05:00:00+00,Weekday,22,Blue Line,1106889,50313,143
2026/03/01 05:00:00+00,Weekday,22,Orange Line,3049686,138622,144
2026/03/01 05:00:00+00,Weekday,22,Red Line,3448615,156755,145
2026/03/01 05:00:00+00,Weekday,22,Heavy Rail,7605190,345690,146
2026/03/01 05:00:00+00,Weekday,22,Green Line,2831637,128711,147
2026/03/01 05:00:00+00,Weekday,22,Mattapan Line,66930,3042,148
2026/03/01 05:00:00+00,Weekday,22,Light Rail,2898567,131753,149
2026/03/01 05:00:00+00,Weekday,22,Silver Line,697007,31682,150
2026/01/01 05:00:00+00,Weekday,20,Green Line,2453296,122665,151
2026/01/01 05:00:00+00,Weekday,20,Mattapan Line,51026,2551,152
2026/01/01 05:00:00+00,Weekday,20,Light Rail,2504322,125216,153
2026/01/01 05:00:00+00,Weekday,20,Silver Line,560060,28003,154
2026/01/01 05:00:00+00,Weekday,20,Bus,5022135,251107,155
2026/01/01 05:00:00+00,Weekday,20,All Bus,5582195,279110,156
2026/01/01 05:00:00+00,Weekday,20,Commuter Rail,2032694,101635,157
2026/01/01 05:00:00+00,Weekday,20,Ferry,58413,2921,158
2026/01/01 05:00:00+00,Weekday,20,The RIDE,79191,3960,159
2026/01/01 05:00:00+00,Saturday,6,Blue Line,160719,26786,160
2026/01/01 05:00:00+00,Saturday,6,Orange Line,407895,67982,161
2026/01/01 05:00:00+00,Saturday,6,Red Line,494228,82371,162
2026/01/01 05:00:00+00,Saturday,6,Heavy Rail,1062842,177140,163
2026/01/01 05:00:00+00,Saturday,6,Green Line,542999,90500,164
2026/01/01 05:00:00+00,Saturday,6,Mattapan Line,8437,1406,165
2026/01/01 05:00:00+00,Saturday,6,Light Rail,551437,91906,166
2026/01/01 05:00:00+00,Saturday,6,Silver Line,110816,18469,167
2026/01/01 05:00:00+00,Saturday,6,Bus,840733,140122,168
2026/01/01 05:00:00+00,Saturday,6,All Bus,951549,158592,169
2026/01/01 05:00:00+00,Saturday,5,Commuter Rail,185163,37033,170
2026/01/01 05:00:00+00,Saturday,5,Ferry,1238,248,171
2026/01/01 05:00:00+00,Saturday,5,The RIDE,10094,2019,172
2026/01/01 05:00:00+00,Sunday,5,Blue Line,95232,19046,173
2026/01/01 05:00:00+00,Sunday,5,Orange Line,218222,43644,174
2026/01/01 05:00:00+00,Sunday,5,Red Line,273314,54663,175
2026/01/01 05:00:00+00,Sunday,5,Heavy Rail,586768,117354,176
2026/01/01 05:00:00+00,Sunday,5,Green Line,287175,57435,177
2026/01/01 05:00:00+00,Sunday,5,Mattapan Line,5151,1030,178
2026/01/01 05:00:00+00,Sunday,5,Light Rail,292326,58465,179
2026/01/01 05:00:00+00,Sunday,5,Silver Line,71393,14279,180
2026/01/01 05:00:00+00,Sunday,5,Bus,454010,90802,181
2026/01/01 05:00:00+00,Sunday,5,All Bus,525403,105081,182
2026/01/01 05:00:00+00,Sunday,4,Commuter Rail,139592,34898,183
2026/01/01 05:00:00+00,Sunday,4,Ferry,529,132,184
2026/01/01 05:00:00+00,Sunday,4,The RIDE,9550,2388,185
2026/01/01 05:00:00+00,Total,31,Blue Line,1149764,37089,186
2026/01/01 05:00:00+00,Total,31,Orange Line,3226847,104092,187
2026/01/01 05:00:00+00,Total,31,Red Line,3496798,112800,188
2026/01/01 05:00:00+00,Total,31,Heavy Rail,7873410,253981,189
2026/01/01 05:00:00+00,Total,31,Green Line,3283471,105918,190
2026/01/01 05:00:00+00,Total,31,Mattapan Line,64613,2084,191
2026/01/01 05:00:00+00,Total,31,Light Rail,3348084,108003,192
2026/01/01 05:00:00+00,Total,31,Silver Line,742268,23944,193
2026/01/01 05:00:00+00,Total,31,Bus,6316878,203770,194
2026/01/01 05:00:00+00,Total,31,All Bus,7059146,227714,195
2026/01/01 05:00:00+00,Total,31,Commuter Rail,2470914,79707,196
2026/01/01 05:00:00+00,Total,31,Ferry,60679,1957,197
2026/01/01 05:00:00+00,Total,31,The RIDE,98835,3188,198
2025/12/01 05:00:00+00,Weekday,22,Blue Line,964066,43821,199
2025/12/01 05:00:00+00,Weekday,22,Orange Line,2943068,133776,200
2026/02/01 05:00:00+00,Weekday,19,Light Rail,2416796,127200,201
2026/02/01 05:00:00+00,Weekday,19,Silver Line,506527,26659,202
2026/02/01 05:00:00+00,Weekday,19,Bus,4634062,243898,203
2026/02/01 05:00:00+00,Weekday,19,All Bus,5140589,270557,204
2026/02/01 05:00:00+00,Weekday,19,Commuter Rail,1881518,99027,205
2026/02/01 05:00:00+00,Weekday,19,Ferry,29065,1530,206
2026/02/01 05:00:00+00,Weekday,19,The RIDE,68774,3620,207
2026/02/01 05:00:00+00,Saturday,5,Blue Line,168962,33792,208
2026/02/01 05:00:00+00,Saturday,5,Orange Line,392423,78485,209
2026/02/01 05:00:00+00,Saturday,5,Red Line,472130,94426,210
2026/02/01 05:00:00+00,Saturday,5,Heavy Rail,1033515,206703,211
2026/02/01 05:00:00+00,Saturday,5,Green Line,530816,106163,212
2026/02/01 05:00:00+00,Saturday,5,Mattapan Line,5826,1165,213
2026/02/01 05:00:00+00,Saturday,5,Light Rail,536641,107328,214
2026/02/01 05:00:00+00,Saturday,5,Silver Line,118586,23717,215
2026/02/01 05:00:00+00,Saturday,5,Bus,983916,196783,216
2026/02/01 05:00:00+00,Saturday,5,All Bus,1102502,220500,217
2026/02/01 05:00:00+00,Saturday,4,Commuter Rail,155110,38778,218
2026/02/01 05:00:00+00,Saturday,4,Ferry,853,213,219
2026/02/01 05:00:00+00,Saturday,4,The RIDE,6922,1730,220
2026/02/01 05:00:00+00,Sunday,4,Blue Line,97941,24485,221
2026/02/01 05:00:00+00,Sunday,4,Orange Line,246865,61716,222
2026/02/01 05:00:00+00,Sunday,4,Red Line,274323,68581,223
2026/02/01 05:00:00+00,Sunday,4,Heavy Rail,619129,154782,224
2026/02/01 05:00:00+00,Sunday,4,Green Line,306391,76598,225
2026/02/01 05:00:00+00,Sunday,4,Mattapan Line,3175,794,226
2026/02/01 05:00:00+00,Sunday,4,Light Rail,309566,77392,227
2026/02/01 05:00:00+00,Sunday,4,Silver Line,63309,15827,228
2026/02/01 05:00:00+00,Sunday,4,Bus,438499,109625,229
2026/02/01 05:00:00+00,Sunday,4,All Bus,501807,125452,230
2026/02/01 05:00:00+00,Sunday,4,Commuter Rail,145027,36257,231
2026/02/01 05:00:00+00,Sunday,4,Ferry,511,128,232
2026/02/01 05:00:00+00,Sunday,4,The RIDE,5648,1412,233
2026/02/01 05:00:00+00,Total,28,Blue Line,1126984,40249,234
2026/02/01 05:00:00+00,Total,28,Orange Line,3194581,114092,235
2026/02/01 05:00:00+00,Total,28,Red Line,3488398,124586,236
2026/02/01 05:00:00+00,Total,28,Heavy Rail,7809962,278927,237
2026/02/01 05:00:00+00,Total,28,Green Line,3204087,114432,238
2026/02/01 05:00:00+00,Total,28,Mattapan Line,58917,2104,239
2026/02/01 05:00:00+00,Total,28,Light Rail,3263003,116536,240
2026/02/01 05:00:00+00,Total,28,Silver Line,688422,24586,241
2026/02/01 05:00:00+00,Total,28,Bus,6056477,216303,242
2026/02/01 05:00:00+00,Total,28,All Bus,6744899,240889,243
2026/02/01 05:00:00+00,Total,28,Commuter Rail,2219064,79252,244
2026/02/01 05:00:00+00,Total,28,Ferry,31311,1118,245
2026/02/01 05:00:00+00,Total,28,The RIDE,81344,2905,246
2026/01/01 05:00:00+00,Weekday,20,Blue Line,893813,44691,247
2026/01/01 05:00:00+00,Weekday,20,Orange Line,2600730,130036,248
2026/01/01 05:00:00+00,Weekday,20,Red Line,2729256,136463,249
2026/01/01 05:00:00+00,Weekday,20,Heavy Rail,6223799,311190,250
2026/03/01 05:00:00+00,Weekday,22,Bus,6183570,281071,251
2026/03/01 05:00:00+00,Weekday,22,All Bus,6880577,312754,252
2026/03/01 05:00:00+00,Weekday,22,Commuter Rail,2450529,111388,253
2026/03/01 05:00:00+00,Weekday,22,Ferry,78704,3577,254
2026/03/01 05:00:00+00,Weekday,22,The RIDE,90041,4093,255
2026/03/01 05:00:00+00,Saturday,4,Blue Line,155901,38975,256
2026/03/01 05:00:00+00,Saturday,4,Orange Line,403653,100913,257
2026/03/01 05:00:00+00,Saturday,4,Red Line,465782,116446,258
2026/03/01 05:00:00+00,Saturday,4,Heavy Rail,1025336,256334,259
2026/03/01 05:00:00+00,Saturday,4,Green Line,490906,122726,260
2026/03/01 05:00:00+00,Saturday,4,Mattapan Line,6683,1671,261
2026/03/01 05:00:00+00,Saturday,4,Light Rail,497589,124397,262
2026/03/01 05:00:00+00,Saturday,4,Silver Line,89519,22380,263
2026/03/01 05:00:00+00,Saturday,4,Bus,668987,167247,264
2026/03/01 05:00:00+00,Saturday,4,All Bus,758506,189626,265
2026/03/01 05:00:00+00,Saturday,4,Commuter Rail,161638,40410,266
2026/03/01 05:00:00+00,Saturday,4,Ferry,1845,461,267
2026/03/01 05:00:00+00,Saturday,4,The RIDE,8126,2032,268
2026/03/01 05:00:00+00,Sunday,5,Blue Line,140232,28046,269
2026/03/01 05:00:00+00,Sunday,5,Orange Line,339060,67812,270
2026/03/01 05:00:00+00,Sunday,5,Red Line,420747,84149,271
2026/03/01 05:00:00+00,Sunday,5,Heavy Rail,900039,180008,272
2026/03/01 05:00:00+00,Sunday,5,Green Line,417156,83431,273
2026/03/01 05:00:00+00,Sunday,5,Mattapan Line,6313,1263,274
2026/03/01 05:00:00+00,Sunday,5,Light Rail,423468,84694,275
2026/03/01 05:00:00+00,Sunday,5,Silver Line,89624,17925,276
2026/03/01 05:00:00+00,Sunday,5,Bus,571309,114262,277
2026/03/01 05:00:00+00,Sunday,5,All Bus,660933,132187,278
2026/03/01 05:00:00+00,Sunday,5,Commuter Rail,195775,39155,279
2026/03/01 05:00:00+00,Sunday,5,Ferry,1512,302,280
2026/03/01 05:00:00+00,Sunday,5,The RIDE,8860,1772,281
2026/03/01 05:00:00+00,Total,31,Blue Line,1403023,45259,282
2026/03/01 05:00:00+00,Total,31,Orange Line,3792398,122335,283
2026/03/01 05:00:00+00,Total,31,Red Line,4335144,139843,284
2026/03/01 05:00:00+00,Total,31,Heavy Rail,9530565,307438,285
2026/03/01 05:00:00+00,Total,31,Green Line,3739699,120635,286
2026/03/01 05:00:00+00,Total,31,Mattapan Line,79926,2578,287
2026/03/01 05:00:00+00,Total,31,Light Rail,3819625,123214,288
2026/03/01 05:00:00+00,Total,31,Silver Line,876150,28263,289
2026/03/01 05:00:00+00,Total,31,Bus,7423866,239480,290
2026/03/01 05:00:00+00,Total,31,All Bus,8300016,267742,291
2026/03/01 05:00:00+00,Total,31,Commuter Rail,2807942,90579,292
2026/03/01 05:00:00+00,Total,31,Ferry,82061,2647,293
2026/03/01 05:00:00+00,Total,31,The RIDE,107027,3452,294
2026/02/01 05:00:00+00,Weekday,19,Blue Line,860081,45267,295
2026/02/01 05:00:00+00,Weekday,19,Orange Line,2555293,134489,296
2026/02/01 05:00:00+00,Weekday,19,Red Line,2741945,144313,297
2026/02/01 05:00:00+00,Weekday,19,Heavy Rail,6157318,324069,298
2026/02/01 05:00:00+00,Weekday,19,Green Line,2366880,124573,299
2026/02/01 05:00:00+00,Weekday,19,Mattapan Line,49916,2627,300
2025/11/01 04:00:00+00,Total,30,Ferry,78713,2624,301
2025/11/01 04:00:00+00,Total,30,The RIDE,98835,3294,302
2025/10/01 04:00:00+00,Weekday,22,Blue Line,1191542,54161,303
2025/10/01 04:00:00+00,Weekday,22,Orange Line,3316968,150771,304
2025/10/01 04:00:00+00,Weekday,22,Red Line,3608907,164041,305
2025/10/01 04:00:00+00,Weekday,22,Heavy Rail,8117417,368974,306
2025/10/01 04:00:00+00,Weekday,22,Green Line,2953678,134258,307
2025/10/01 04:00:00+00,Weekday,22,Mattapan Line,74610,3391,308
2025/10/01 04:00:00+00,Weekday,22,Light Rail,3028288,137649,309
2025/10/01 04:00:00+00,Weekday,22,Silver Line,713116,32414,310
2025/10/01 04:00:00+00,Weekday,22,Bus,6418790,291763,311
2025/10/01 04:00:00+00,Weekday,22,All Bus,7131906,324178,312
2025/10/01 04:00:00+00,Weekday,22,Commuter Rail,2292936,104224,313
2025/10/01 04:00:00+00,Weekday,22,Ferry,104843,4766,314
2025/10/01 04:00:00+00,Weekday,23,The RIDE,95082,4134,315
2025/10/01 04:00:00+00,Saturday,5,Blue Line,193707,38741,316
2025/10/01 04:00:00+00,Saturday,5,Orange Line,434662,86932,317
2025/10/01 04:00:00+00,Saturday,5,Red Line,583767,116753,318
2025/10/01 04:00:00+00,Saturday,5,Heavy Rail,1212137,242427,319
2025/10/01 04:00:00+00,Saturday,5,Green Line,621314,124263,320
2025/10/01 04:00:00+00,Saturday,5,Mattapan Line,9285,1857,321
2025/10/01 04:00:00+00,Saturday,5,Light Rail,630599,126120,322
2025/10/01 04:00:00+00,Saturday,5,Silver Line,116932,23386,323
2025/10/01 04:00:00+00,Saturday,5,Bus,818675,163735,324
2025/10/01 04:00:00+00,Saturday,5,All Bus,935607,187121,325
2025/10/01 04:00:00+00,Saturday,4,Commuter Rail,179961,44990,326
2025/10/01 04:00:00+00,Saturday,4,Ferry,10586,2646,327
2025/10/01 04:00:00+00,Saturday,4,The RIDE,8493,2123,328
2025/10/01 04:00:00+00,Sunday,4,Blue Line,124498,31124,329
2025/10/01 04:00:00+00,Sunday,4,Orange Line,272663,68166,330
2025/10/01 04:00:00+00,Sunday,4,Red Line,355344,88836,331
2025/10/01 04:00:00+00,Sunday,4,Heavy Rail,752504,188126,332
2025/10/01 04:00:00+00,Sunday,4,Green Line,362168,90542,333
2025/10/01 04:00:00+00,Sunday,4,Mattapan Line,5466,1366,334
2025/10/01 04:00:00+00,Sunday,4,Light Rail,367634,91908,335
2025/10/01 04:00:00+00,Sunday,4,Silver Line,73093,18273,336
2025/10/01 04:00:00+00,Sunday,4,Bus,463646,115912,337
2025/10/01 04:00:00+00,Sunday,4,All Bus,536739,134185,338
2025/10/01 04:00:00+00,Sunday,4,Commuter Rail,150728,37682,339
2025/10/01 04:00:00+00,Sunday,4,Ferry,5783,1446,340
2025/10/01 04:00:00+00,Sunday,4,The RIDE,7603,1901,341
2025/10/01 04:00:00+00,Total,31,Blue Line,1509748,48702,342
2025/10/01 04:00:00+00,Total,31,Orange Line,4024293,129816,343
2025/10/01 04:00:00+00,Total,31,Red Line,4548018,146710,344
2025/10/01 04:00:00+00,Total,31,Heavy Rail,10082059,325228,345
2025/10/01 04:00:00+00,Total,31,Green Line,3937159,127005,346
2025/10/01 04:00:00+00,Total,31,Mattapan Line,89362,2883,347
2025/10/01 04:00:00+00,Total,31,Light Rail,4026521,129888,348
2025/10/01 04:00:00+00,Total,31,Silver Line,903141,29134,349
2025/10/01 04:00:00+00,Total,31,Bus,7701111,248423,350
2025/12/01 05:00:00+00,Weekday,22,Red Line,2913914,132451,351
2025/12/01 05:00:00+00,Weekday,22,Heavy Rail,6821047,310048,352
2025/12/01 05:00:00+00,Weekday,22,Green Line,1851002,84136,353
2025/12/01 05:00:00+00,Weekday,22,Mattapan Line,58793,2672,354
2025/12/01 05:00:00+00,Weekday,22,Light Rail,1909796,86809,355
2025/12/01 05:00:00+00,Weekday,22,Silver Line,630643,28666,356
2025/12/01 05:00:00+00,Weekday,22,Bus,5478121,249006,357
2025/12/01 05:00:00+00,Weekday,22,All Bus,6108765,277671,358
2025/12/01 05:00:00+00,Weekday,22,Commuter Rail,2341366,106426,359
2025/12/01 05:00:00+00,Weekday,22,Ferry,66333,3015,360
2025/12/01 05:00:00+00,Weekday,22,The RIDE,81255,3693,361
2025/12/01 05:00:00+00,Saturday,4,Blue Line,129863,32466,362
2025/12/01 05:00:00+00,Saturday,4,Orange Line,355057,88764,363
2025/12/01 05:00:00+00,Saturday,4,Red Line,371059,92765,364
2025/12/01 05:00:00+00,Saturday,4,Heavy Rail,855980,213995,365
2025/12/01 05:00:00+00,Saturday,4,Green Line,288552,72138,366
2025/12/01 05:00:00+00,Saturday,4,Mattapan Line,5928,1482,367
2025/12/01 05:00:00+00,Saturday,4,Light Rail,294480,73620,368
2025/12/01 05:00:00+00,Saturday,4,Silver Line,90951,22738,369
2025/12/01 05:00:00+00,Saturday,4,Bus,598258,149564,370
2025/12/01 05:00:00+00,Saturday,4,All Bus,689209,172302,371
2025/12/01 05:00:00+00,Saturday,4,Commuter Rail,163125,40781,372
2025/12/01 05:00:00+00,Saturday,4,Ferry,910,228,373
2025/12/01 05:00:00+00,Saturday,4,The RIDE,7147,1787,374
2025/12/01 05:00:00+00,Sunday,5,Blue Line,114026,22805,375
2025/12/01 05:00:00+00,Sunday,5,Orange Line,306749,61350,376
2025/12/01 05:00:00+00,Sunday,5,Red Line,310003,62001,377
2025/12/01 05:00:00+00,Sunday,5,Heavy Rail,730778,146156,378
2025/12/01 05:00:00+00,Sunday,5,Green Line,243038,48608,379
2025/12/01 05:00:00+00,Sunday,5,Mattapan Line,5407,1081,380
2025/12/01 05:00:00+00,Sunday,5,Light Rail,248445,49689,381
2025/12/01 05:00:00+00,Sunday,5,Silver Line,81701,16340,382
2025/12/01 05:00:00+00,Sunday,5,Bus,476797,95359,383
2025/12/01 05:00:00+00,Sunday,5,All Bus,558497,111699,384
2025/12/01 05:00:00+00,Sunday,4,Commuter Rail,149297,37324,385
2025/12/01 05:00:00+00,Sunday,4,Ferry,835,209,386
2025/12/01 05:00:00+00,Sunday,4,The RIDE,7036,1759,387
